id;SCN_CT;SCN_QT;SCN_H_2000;SCN_H_3000;SCN_FP;SCN_HPA;SCN_CG;SCB_H_4000;CN_CAP_CT;CN_CAP_QT;CN_CAP_H_2000;CN_CAP_H_3000;CN_CAP_FP;CN_CAP_HPA;CN_CAP_CG;CN_CAP_H_4000;CN_PROD_CT;CN_PROD_QT;CN_PROD_H_2000;CN_PROD_H_3000;CN_PROD_FP;CN_PROD_HPA;CN_PROD_CG;CN_PROD_H_4000;H2_COST_CT;H2_COST_QT;H2_COST_H_2000;H2_COST_H_3000;H2_COST_FP;H2_COST_HPA;H2_COST_CG;H2_COST_H_4000;RES_COST_CT;RES_COST_QT;RES_COST_H_2000;RES_COST_H_3000;RES_COST_FP;RES_COST_HPA;RES_COST_CG;RES_COST_H_4000;TOT_COST_CT;TOT_COST_QT;TOT_COST_H_2000;TOT_COST_H_3000;TOT_COST_FP;TOT_COST_HPA;TOT_COST_CG;TOT_COST_H_4000;ETS_COST_CT;ETS_COST_QT;ETS_COST_H_2000;ETS_COST_H_3000;ETS_COST_FP;ETS_COST_HPA;ETS_COST_CG;EST_COST_H_4000;NET_COST_CT;NET_COST_QT;NET_COST_H_2000;NET_COST_H_3000;NET_COST_FP;NET_COST_HPA;NET_COST_CG;NET_COST_H_4000;PS_COST_CT;PS_COST_QT;PS_COST_H_2000;PS_COST_H_3000;PS_COST_FP;PS_COST_HPA;PS_COST_CG;PS_COST_H_4000;H2S_COST_CT;H2S_COST_QT;H2S_COST_H_2000;H2S_COST_H_3000;H2S_COST_FP;H2S_COST_HPA;H2S_COST_CG;H2S_COST_H_4000;INDS_COST_CT;INDS_COST_QT;INDS_COST_H_2000;INDS_COST_H_3000;INDS_COST_FP;INDS_COST_HPA;INDS_COST_CG;INDS_COST_H_4000
1;2;52;102;252;152;202;302;352;73.42958273;;;;;;;;8.657071097;;;;;;;;0.779500607;;;;;;;;62.52538591;;;;;;;;5613235.9;;;;;;;;113.839269;;;;;;;;-50.53438246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;53;103;253;153;203;303;353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;54;104;254;154;204;304;354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;55;105;255;155;205;305;355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;6;56;106;256;156;206;306;356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;7;57;107;257;157;207;307;357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;8;58;108;258;158;208;308;358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;9;59;109;259;159;209;309;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;10;60;110;260;160;210;310;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;11;61;111;261;161;211;311;361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
